"Id","SalePrice"
1461,113497.17013215
1462,150150.515416724
1463,184519.594220921
1464,194454.745765276
1465,191936.187327744
1466,180425.39242733
1467,176744.688953914
1468,175798.951723079
1469,191393.306657052
1470,126462.961383828
1471,191227.088689197
1472,93135.2665973092
1473,93390.9597476239
1474,153022.780608441
1475,112795.529250104
1476,362549.802769931
1477,247216.621754836
1478,286053.034010687
1479,303695.181394395
1480,506176.077960064
1481,334320.087663384
1482,209125.349249234
1483,193269.870175045
1484,163043.094171228
1485,179233.863016006
1486,201148.96089378
1487,313958.696177607
1488,244402.717143837
1489,198349.110186417
1490,237015.070641351
1491,189208.550199832
1492,92924.257288922
1493,171606.456849841
1494,294271.992372324
1495,297893.596472233
1496,228737.742958078
1497,182732.58248092
1498,155695.455118932
1499,161578.49069585
1500,164901.251570191
1501,180378.040821724
1502,154450.736419423
1503,258731.177733204
1504,231440.436706548
1505,239471.919574003
1506,199712.111009069
1507,257410.060570325
1508,197272.263611251
1509,153815.735035193
1510,152115.708237947
1511,147473.888586405
1512,189746.931868664
1513,145815.129777841
1514,159581.871755538
1515,214408.813339485
1516,148693.349442731
1517,146163.247090176
1518,148551.914037647
1519,205932.446365496
1520,135299.850860069
1521,130624.51875054
1522,167735.237319889
1523,121982.050677629
1524,115935.543939094
1525,121632.711765946
1526,119960.090781023
1527,111731.815449447
1528,130096.503688887
1529,140640.512004536
1530,167137.923748309
1531,125441.772236587
1532,105103.378667514
1533,151901.296785934
1534,113728.96302291
1535,152314.026837906
1536,119660.049187478
1537,84493.1619878316
1538,132208.279584886
1539,171555.611418935
1540,106803.975500822
1541,136174.49917462
1542,142975.508393751
1543,170849.734814269
1544,93440.610884316
1545,102662.195071394
1546,126096.584795217
1547,134583.322168861
1548,120470.742514646
1549,110093.864720284
1550,144354.758103803
1551,115233.360626687
1552,151995.719961768
1553,137530.012152337
1554,123590.652677909
1555,169853.903133082
1556,113382.192764358
1557,109819.39384795
1558,87614.134065757
1559,92194.898251756
1560,146498.665821518
1561,148845.84248495
1562,133081.675653911
